DESCRIPTION SYMBOL ACCOUNT_TYPE QUANTITY PRICE MARKET_VALUE LAST_PERIODs_SMARKET_VALUE _CHANGE _OF_TOTAL_PORTFOLIO
AMAZON.COM_INC AMZN C 0.014 $113.00 $1.58 $1.77 -11 .838
ALPHABET_INC GOOGL C 0.042 95.65 4.02 4.55 -12 2.133
APPLE_INC AAPL C 0.0055 138.20 0.76 0.86 -12 .403
BERKSHIRE_HATHAWAY_INC_DEL BRK.B C 0.0079 267.02 2.11 2.22 -5 1.120
WALT_DISNEY_CO DIS C 1.70593 94.33 0.18 0.21 -14 .096
ELECTRONIC_ARTS_INC EA C 0.122 115.71 14.12 15.48 -9 7.492
META_PLATFORMS_INC META C 0.72796 135.68 98.77 38.32 158 52.409
MICROSOFT_CORP MSFT C 0.27021 232.90 62.93 70.65 -11 33.392
QUALCOMM_INC QCOM C 0.0161 112.98 1.82 2.13 -15 .966
TESLA_INC TSLA C 0.0081 265.25 2.15 2.23 -4 1.141
